Product,RM Code,RM Desc, Qty ,Avg Speed ,Width,Production Line
B-THL-025.0-XX-J,RM3500075,POLYPROPELENE - COEXAS 2 (PP),7,,,FCB: Line-3 (BOPP)
B-THL-025.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,896,,,FCB: Line-3 (BOPP)
B-THL-025.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),24,,,FCB: Line-3 (BOPP)
B-THL-025.0-XX-B,,,"1,000",285,6.75,
B-THO-020.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,811.5,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,35.2,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,B-RGG-0001,RGG,91.5,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,18,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,26.6,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,11.9,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,RM3500265,SATO,2.8,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.5,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-J,RM3300165,TAFMER XM7070S,2,,,FCB: Line-3 (BOPP)
B-THO-020.0-XX-B,,,"1,000",380,6.75,
B-THS-015.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,579.9,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,49.1,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,B-RGG-0001,RGG,295.3,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,24,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,35.4,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,11.5,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,RM3500265,POLYPROPELENE -2C01 A,2.1,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.6,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-J,RM3300165,TAFMER XM7070S,2.1,,,FCB: Line-3 (BOPP)
B-THS-015.0-XX-B,,,"1,000",400,6.75,
B-THS-017.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,588.6,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,43.1,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,B-RGG-0001,RGG,299.7,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,21.2,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,31.2,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,11.7,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,RM3500265,POLYPROPELENE -2C01 A,2.1,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.5,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-J,RM3300165,TAFMER XM7070S,1.9,,,FCB: Line-3 (BOPP)
B-THS-017.0-XX-B,,,"1,000",410,6.75,
B-THS-018.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,592.1,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,40.7,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,B-RGG-0001,RGG,301.6,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,20,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,29.5,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,11.8,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,RM3500265,POLYPROPELENE -2C01 A,2,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.5,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-J,RM3300165,TAFMER XM7070S,1.8,,,FCB: Line-3 (BOPP)
B-THS-018.0-XX-B,,,"1,000",410,6.75,
B-THS-020.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,598.3,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,36.6,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,B-RGG-0001,RGG,304.7,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,18,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,26.6,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,11.9,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,RM3500265,POLYPROPELENE -2C01 A,1.8,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.5,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-J,RM3300165,TAFMER XM7070S,1.6,,,FCB: Line-3 (BOPP)
B-THS-020.0-XX-B,,,"1,000",390,6.75,
B-THS-025.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,640.3,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,29.9,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,B-RGG-0001,RGG,279.6,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,14.4,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,21.2,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,12.1,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,RM3500265,POLYPROPELENE -2C01 A,0.8,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.4,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-J,RM3300165,TAFMER XM7070S,1.3,,,FCB: Line-3 (BOPP)
B-THS-025.0-XX-B,,,"1,000",300,6.75,
B-THS-030.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,648,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,25.1,,,FCB: Line-3 (BOPP)
